question,correct_answer,incorrect_answers
Uki-otoshi is part of the Nage no Kata and in English is called:,Floating drop,[Hand drop;Hip drop;Kneeling drop]
How many categories of throwing techniques are there in the Nage no Kata?,5,[4;6;3]
When we practice Nage no Kata we are practicing ,Throwing forms,[Grappling forms;Free exercise forms;All Judo forms]
Nage no Kata includes:,Yoko-sutemi-waza,[Shime-waza;Kesa-gatame;Kansetsu-waza]
Which one of these is not included in the Koshi-waza category in Nage no Kata?,Uki-waza,[Uki-goshi;Harai-goshi;Tsurikomi-goshi]
Uchi-mata is part of which Nage no Kata category?,Ashi-waza,[Te-waza;Koshi-waza;Ma-sutemi-waza]
Ura-nage is part of which Nage no Kata category?,Ma-sutemi-waza,[Koshi-waza;Ashi-waza;Yoko-sutemi-waza]
Which other technique is part of the Yoko-sutemi-waza category in Nage no Kata besides Yoko-gake and Yoko-guruma?,Uki-waza,[Uchi-mata;Tomoe-nage;Yoko-tomoe-nage]
How many throwing techniques are in each of the Nage no Kata categories?,3,[4;5;6]
Which other technique is part of the Koshi-waza category in Nage no Kata besides Tsurikomi-goshi and Harai-goshi?,Uki-goshi,[Uki-otoshi;Sumi-gaeshi;Uchi-mata]
Which other category is missing from the following Nage no Kata categories: Te-waza Koshi-waza Ashi-waza Yoko-sutemi-waza?,Ma-sutemi-waza,[Shime-waza;Uki-waza;Kansetsu-waza]
Tai-otoshi or body drop belongs to the following Nage no Kata category:,None,[Ashi-waza;Te-waza;Koshi-waza]
Uki-otoshi Seoi-nage and Kata-guruma belong to which Nage no Kata category?,Te-waza,[None;Ashi-waza;Ma-sutemi-waza]
Tomoe-nage Ura-nage and Sumi-gaeshi belong to which Nage no Kata category?,Ma-sutemi-waza,[None;Te-waza;Koshi-waza]
Yoko-gake Yoko-guruma and Uki-waza belong to which Nage no Kata category?,Yoko-sutemi-waza,[Te-waza;Koshi-waza;Ma-sutemi-waza]
Tai-otoshi Tsuri-goshi and O-goshi belong to which Nage no Kata category?,None,[Te-waza;Koshi-waza;Ashi-waza]
Okuri-ashi-harai Sasae-trsurikomi-ashi and Uchi-mata belong to which Nage no Kata category?,Ashi-waza,[None;Te-waza;Koshi-waza]
Uki-goshi Harai-goshi and Tsurikomi-goshi belong to which Nage no Kata category?,Koshi-waza,[Te-waza;Ashi-waza;Ma-sutemi-waza]
The Lift pull hip throw (Trusikomi-goshi) is part of which category of Nage no Kata?,Koshi-waza,[Te-waza;Kansetsu-waza;Ashi-waza]
This is the total number of throwing techniqes within the Nage no Kata:,15,[12;20;18]
All the throwing techniques have to be demonstrated with right and left side throws.,Yes,[Only right side; Only left side; No]
How many sacrifice techniques groups are there in Nage no Kata?,Two,[One;Three;None]
